date,Transfers
1/1/11,13
2/1/11,15
3/1/11,76
4/1/11,10
5/1/11,52
6/1/11,63
7/1/11,21
8/1/11,88
9/1/11,17
10/1/11,20
11/1/11,11
12/1/11,11
1/1/12,9
2/1/12,59
3/1/12,17
4/1/12,31
5/1/12,38
6/1/12,28
7/1/12,26
8/1/12,61
9/1/12,51
10/1/12,88
11/1/12,15
12/1/12,89
1/1/13,11
2/1/13,21
3/1/13,54
4/1/13,33
5/1/13,23
6/1/13,3
7/1/13,52
8/1/13,49
9/1/13,9
10/1/13,30
11/1/13,21
12/1/13,64
1/1/14,17
2/1/14,29
3/1/14,11
4/1/14,13
5/1/14,6
6/1/14,4
7/1/14,1
8/1/14,4
9/1/14,3
10/1/14,0
11/1/14,3
12/1/14,0
1/1/15,2
2/1/15,0
3/1/15,5
